1.0,0.0,0.0,0.0,0.0,2.2319913783379843e-17
1.0,0.0,0.02,-2.277342193828247e-6,0.0,2.679766953653431e-16
1.0,0.0,0.04,-3.4539119891618954e-5,0.0,9.032703743346434e-13
1.0,0.0,0.06,-0.00016551697351880666,0.0,1.059926741897424e-10
1.0,0.0,0.08,-0.0004942553198950117,0.0,3.0657362600047436e-9
1.0,0.0,0.1,-0.0011372278174583527,0.0,4.147216421703881e-8
1.0,0.0,0.12,-0.002214987159812658,0.0,3.488888422027843e-7
1.0,0.0,0.14,-0.0038375697924968467,0.0,2.1227624757646647e-6
1.0,0.0,0.16,-0.006088092624537662,0.0,1.0205215584214483e-5
1.0,0.0,0.18,-0.00900458770601997,0.0,4.0939641662250056e-5
1.0,0.0,0.2,-0.012561637497469214,0.0,0.00014173007162433264
1.0,0.0,0.22,-0.016656566181467682,0.0,0.00043152827634003704
1.0,0.0,0.24,-0.021109920540593713,0.0,0.0011646565127255756
1.0,0.0,0.26,-0.025693037169831054,0.0,0.00278645108821914
1.0,0.0,0.28,-0.03018598958615149,0.0,0.005892530853281829
1.0,0.0,0.3,-0.034441169861501864,0.0,0.011016230013974941
1.0,0.0,0.32,-0.03840905020948208,0.0,0.0183447708576777
1.0,0.0,0.34,-0.04211210977787161,0.0,0.027606222497877062
1.0,0.0,0.36,-0.04559882142702307,0.0,0.0382068844548432
1.0,0.0,0.38,-0.04891162696225105,0.0,0.04946186503286329
1.0,0.0,0.4,-0.052075538969413124,0.0,0.06076059474542345
1.0,0.0,0.42,-0.055098650503873685,0.0,0.07163306884192779
1.0,0.0,0.44,-0.05797638828584686,0.0,0.08175161770071984
1.0,0.0,0.46,-0.060695739733687554,0.0,0.09090620357106559
1.0,0.0,0.48,-0.06323843575948375,0.0,0.098974873795804
1.0,0.0,0.5,-0.06558311600817623,0.0,0.10589802592211257
1.0,0.02,0.0,-2.323839999984756e-6,0.0,0.00015296498038722155
1.0,0.02,0.02,-3.256697806625519e-5,0.0,0.00015056581135907627
1.0,0.02,0.04,-0.00015216680471866084,0.0,0.00015015524654737398
1.0,0.02,0.06,-0.0004492288606400918,0.0,0.00015392491885744225
1.0,0.02,0.08,-0.001027921700238932,0.0,0.00016516980359286592
1.0,0.02,0.1,-0.001997657749601678,0.0,0.00018920271210777346
1.0,0.02,0.12,-0.0034614486017137923,0.0,0.00023542827748278678
